"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"The Treatment Room","","http://thetreatmentroomamherst.ca/","","","","4.3","76","HIGH","85","","Amherst, NS, CA","Medical Spa"
"Damaris Spa and Wellness Centre","","http://www.damarisspa.com/","damaris@damarisspa.com [risky]","","","5.0","14","MEDIUM","85","","Amherst, NS, CA","Medical Spa"
"The Body Oasis","+1 506-713-0323","http://thebodyoasis.ca/","pamperme@thebodyoasis.ca [risky]","","","4.3","76","MEDIUM","85","","Amherst, NS, CA","Medical Spa"
"Healing Touch Holistic ""Living Space""/ Singhe Holdings & Services (Worldwide) Inc.","+1 647-966-9364","http://healingtouchholistic.com/home","info@healingtouchholistic.com [risky]","accurate until the","","3.3","299","LOW","75","","Amherst, NS, CA","Medical Spa"
"Valley Medical","+1 902-678-2121","http://www.vmedical.ca/","","","","3.7","3","HIGH","95","","Annapolis County, NS, CA","Medical Spa"
"Haven Medi-Spa","+1 902-982-6334","https://www.havenmedispa.com/","hello@havenmedispa.com [risky]","Kelly Finamore","","4.6","41","MEDIUM","85","","Annapolis County, NS, CA","Medical Spa"
"Truro Medi Spa","+1 902-893-7613","http://www.truromedispa.com/","","","","5.0","68","HIGH","75","","Annapolis County, NS, CA","Medical Spa"
"SENSEA Nordic Spa","+1 902-536-1865","http://www.sensea.ca/","info@sensea.ca [risky]","","","4.6","35","MEDIUM","85","","Annapolis County, NS, CA","Medical Spa"
"Saltair Nordic Spa & Wellness","+1 902-582-2400","https://www.saltairnordic.ca/","connect@saltairnordic.ca [risky]","","","4.9","200","LOW","55","","Annapolis County, NS, CA","Medical Spa"
"Eau Spa","","https://www.eauspa.ca/","","","","4.9","31","HIGH","85","","Annapolis County, NS, CA","Medical Spa"
"RE/GENERATE Day Spa","+1 902-844-1600","https://www.regeneratedayspa.com/","info@regeneratedayspa.com [risky]","MARLEY LUNDRIGAN","","4.5","179","LOW","65","","Annapolis County, NS, CA","Medical Spa"
"Monarchy Medispa - Antigonish","+1 902-863-9116","http://nursecatherine.com/","[INVALID] 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","","","5.0","19","MEDIUM","85","","Antigonish, NS, CA","Medical Spa"
"The Skin Clinic Antigonish","","http://nurseyvonne.ca/","info@skinclinicantigonish.ca [risky]","Medical","","5.0","10","MEDIUM","85","","Antigonish, NS, CA","Medical Spa"
"Berwick Physio - pt Health","+1 902-538-9700","https://www.pthealth.ca/clinic/berwick-physio-pt-health/?utm_source=gmb&utm_medium=organic","","","","4.0","1","HIGH","100","","Berwick, NS, CA","Medical Spa"
"Heartshine Wellness","+1 902-229-7947","https://www.heartshinewellness.com/","libby.tobiaspt@gmail.com [risky]","","","5.0","4","MEDIUM","85","","Berwick, NS, CA","Medical Spa"
"At Ease Wellness Studio","+1 902-247-4381","https://www.facebook.com/AtEaseWellnessStudio/","","","","4.9","32","HIGH","85","","Berwick, NS, CA","Medical Spa"
"CBI Health - Berwick","+1 902-375-2505","https://www.cbihealth.ca/locations/berwick?utm_source=google&utm_medium=organic&utm_campaign=gbp","","Blog
Clinic","","4.0","1","HIGH","100","","Berwick, NS, CA","Medical Spa"
"Beyond Esthetic Studio","+1 902-530-3770","http://www.beyondestheticstudio.com/","","","","5.0","21","HIGH","85","","Bridgewater, NS, CA","Medical Spa"
"Harmony Health Centre","+1 902-530-3460","http://www.harmonyhealthcentre.org/","","","","5.0","2","HIGH","85","","Bridgewater, NS, CA","Medical Spa"
"One Eleven Health Hub","+1 902-529-1916","https://www.facebook.com/profile.php?id=61551757091512","hello@oneelevenhealthhub.com [risky]","","","5.0","2","MEDIUM","85","","Bridgewater, NS, CA","Medical Spa"
"Within The Skin Medi Spa Inc.","+1 902-593-1255","http://www.withintheskin.ca/","[INVALID] team@latofonts.com","","","4.9","11","MEDIUM","85","","Bridgewater, NS, CA","Medical Spa"
"Rewind Massage Therapy","+1 902-529-1256","","","","","5.0","117","HIGH","85","","Bridgewater, NS, CA","Medical Spa"
"River Roots Wellness","","http://www.riverrootswellness.com/","riverrootswellness@gmail.com [risky]","","","5.0","117","LOW","65","","Bridgewater, NS, CA","Medical Spa"
"Ivy Nails & Spa","+1 902-527-2001","https://ivynailsbridgewater.com/","","","","5.0","4","HIGH","85","","Bridgewater, NS, CA","Medical Spa"
"Remy's Nails & Spa","+1 902-543-5656","https://remysnailsspa.com/","","","","","0","HIGH","85","","Bridgewater, NS, CA","Medical Spa"
"Live Strong Lifestyle Studio","+1 902-514-3013","https://livestronglifestyle.ca/","info@livestronglifestyle.ca [risky]","","","5.0","117","LOW","65","","Bridgewater, NS, CA","Medical Spa"
"Aysha Parsons Massage","+1 902-298-6294","https://www.ayshaparsonsmassage.com/","info@ayshaparsonsmassage.com [risky]","working in","","","21","MEDIUM","85","","Bridgewater, NS, CA","Medical Spa"
"Origins of Beauty, Spa & Salon","","http://www.originsofbeautyspa.com/","originsofbeautyspa@outlook.com [risky]","","","4.9","104","LOW","65","","Bridgewater, NS, CA","Medical Spa"
"Rachael Jessup","","http://rachaelreflexology.com/","[INVALID] 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","","","5.0","2","MEDIUM","85","","Bridgewater, NS, CA","Medical Spa"
"Bridgewater Family Health Centre","+1 902-527-1800","http://www.nshealth.ca/locations-details/Bridgewater%20&%20Area%20Family%20Health%20Centre","","","","3.7","3","HIGH","95","","Bridgewater, NS, CA","Medical Spa"
"Lifemark Physiotherapy Bridgewater","+1 902-527-1659","https://www.lifemark.ca/clinics/bridgewater/bridgewater?utm_source=gmb&utm_medium=organic","","","","4.9","41","HIGH","85","","Bridgewater, NS, CA","Medical Spa"
"Just Beachy Tanning Lounge","+1 902-530-6229","","","","","","0","HIGH","100","","Bridgewater, NS, CA","Medical Spa"
"South Shore Medical Arts Building","","https://mha.nshealth.ca/en/clinics/south-shore-medical-arts-centre","mhatransformation@nshealth.ca [risky]","","","4.9","41","MEDIUM","85","","Bridgewater, NS, CA","Medical Spa"
"Planet Beach Spa","+1 902-270-7575","","","","","5.0","9","HIGH","100","","Cape Breton County, NS, CA","Medical Spa"
"Tracie's Spa","+1 902-539-9900","http://www.traciesspalife.com/","","","","5.0","9","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"R & Ro Clinical Aesthetics","","http://randro.janeapp.com/","","","","5.0","17","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Refresh Massage Therapy And Skin Care Clinic","+1 902-562-8409","http://www.refreshbody.ca/","refreshbody@gmail.com [risky]","","","4.9","55","LOW","75","","Cape Breton County, NS, CA","Medical Spa"
"HealthPark Medical Aesthetics","+1 902-578-8680","http://www.healthparkaesthetics.ca/","drpuppala@healthparkbotox.com [risky]","","","2.3","12","MEDIUM","95","","Cape Breton County, NS, CA","Medical Spa"
"DermaEnvy Skincare - Sydney","+1 902-562-0623","https://www.dermaenvy.com/","halifax@dermaenvy.com [risky]","in Your Skin","","4.8","45","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"True Clinic - Botox, Lips & More","+1 902-371-0102","http://trueclinic.ca/","","SYDNEY
CHRIS BR","","4.8","45","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Super Natural Wellness","","https://supernaturalwellness.ca/","","","","","0","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Reboot Wellness","+1 902-500-2727","http://rebootwellness.ca/","","Alyssa Boutilier","","4.9","28","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Stephanie's Beauty Boutique Aesthetics and Head spa","+1 902-595-4033","","","","","","0","HIGH","100","","Cape Breton County, NS, CA","Medical Spa"
"Shannon's Spa & Electrolysis","+1 902-577-2995","","","","","5.0","2","HIGH","100","","Cape Breton County, NS, CA","Medical Spa"
"Lyc.a.Princess Aesthetikos","+1 902-562-3336","https://www.instagram.com/lyc.a.princessaesthetikos/","","","","","0","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Evergreen Spa Studio","+1 902-270-4400","https://evergreenspastudio.com/","evergreenspa.studio@gmail.com [risky]","Members
Leah Unsworth","","4.5","16","MEDIUM","95","","Cape Breton County, NS, CA","Medical Spa"
"The Little Spa in Sydney","+1 289-404-5252","","","","","4.7","155","HIGH","75","","Cape Breton County, NS, CA","Medical Spa"
"Audre's Harbour","","http://www.audresharbour.com/","audresharbour@gmail.com [risky]","","","","0","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"Nurtured Spa","","http://nurturedspa.com/","nurturedspa@gmail.com [risky]","","","5.0","5","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"OceanView Wellness Centre","","https://linktr.ee/oceanviewwellness","","","","5.0","3","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Healthy Touch Massage Therapy","+1 902-562-5554","https://healthytouchmassagetherapy2.clinicsense.com/","healthy.touch@bellaliant.com [risky]","","","4.6","163","LOW","55","","Cape Breton County, NS, CA","Medical Spa"
"The Spa at the Inverary Resort","+1 800-565-5660","https://inveraryresort.com/spa/","","Photos displayed in","","4.2","732","MEDIUM","60","","Cape Breton County, NS, CA","Medical Spa"
"Island Chiropractic & Family Wellness - Sydney, NS","+1 902-270-7022","http://www.islandchiro.com/","info@islandchiro.com [risky]","","","5.0","21","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"Inverary Resort","+1 902-295-3500","http://inveraryresort.com/","[INVALID] reservations@capebretonresorts.com","","","3.8","76","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"The Sugar Dish Day Spa","+1 902-241-5550","","","","","3.6","26","HIGH","100","","Cape Breton County, NS, CA","Medical Spa"
"ReImagine Wellness Centre","+1 403-669-9391","","","","","4.3","7","HIGH","100","","Cape Breton County, NS, CA","Medical Spa"
"Nani`s Esthetics and Laser Center Inc.","+1 902-625-0050","https://www.nanisesthetics.ca/","","","","4.6","18","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Gypsum Mine Lake, Accolade Hostel Retreat Campground","+1 902-292-1530","http://accoladens.net/info/gypsum-mine-lake.php","[INVALID] webmaster@accoladens.net","","","4.4","46","MEDIUM","95","","Cape Breton County, NS, CA","Medical Spa"
"Synergy Day Spa","+1 902-842-4743","","","","","4.9","18","HIGH","100","","Cape Breton County, NS, CA","Medical Spa"
"Reflections Day Spa","+1 902-625-3171","","","","","5.0","3","HIGH","100","","Cape Breton County, NS, CA","Medical Spa"
"Manndy's Oasis Esthetics","+1 902-422-4475","https://vitalitymedispa.ca/","","","","","0","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Vitality Medi Spa - North","+1 902-422-4475","https://vitalitymedispa.ca/","[INVALID] 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","","","","0","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"Well + Good Massage Therapy","+1 902-457-3267","https://vitalitymedispa.ca/","","","","","0","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Vitality Medi Spa - Bedford","","https://vitalitymedispa.ca/","","","","","0","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"BrianBrows Beauty Spa & Academy","+1 902-429-3022","http://www.thehighlanderspa.com/","info.thehighlanderspa@gmail.com [risky]","to book my","","","0","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"Hart and Soul Aesthetics","+1 902-578-0471","https://book.heygoldie.com/Hart-And-Soul-Aesthetics","hartandsoul150@gmail.com [risky]","","","4.2","57","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"Social Salon & Spa","+1 902-270-3313","","","","","5.0","2","HIGH","100","","Cape Breton County, NS, CA","Medical Spa"
"Unmatched Massage Therapy","+1 902-842-9177","https://unmatchedmassagetherapy.clinicsense.com/?mibextid=Zxz2cZ","unmatchedmassage@outlook.com [risky]","","","5.0","13","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"The Lip Lounge Aesthetic Clinic","+1 902-575-2050","https://theloftspa.ca/contact-us-1","info@theloftspa.ca [risky]","","","","0","MEDIUM","85","","Cape Breton County, NS, CA","Medical Spa"
"AAA Nails","+1 902-304-4047","https://linktr.ee/brandiesaesthetics","","","","","0","HIGH","85","","Cape Breton County, NS, CA","Medical Spa"
"Oceanstone Resort & Nordic Spa with Fitness Centre","+1 902-823-2160","https://oceanstoneresort.com/","info@oceanstoneresort.com [risky]","","","4.6","57","LOW","75","","Cape Breton County, NS, CA","Medical Spa"
"ReDefined Aesthetics","+1 902-890-4326","https://www.redefinedaesthetics.ca/","redefinedaesthetics.truro@gmail.com [risky]","","","4.8","100","LOW","65","","Colchester, NS, CA","Medical Spa"
"Glow Spa Inc","+1 902-897-7200","https://www.glowspainc.ca/","info@glowspainc.ca [risky]","","","4.3","115","LOW","75","","Colchester, NS, CA","Medical Spa"
"Kimberlea Aesthetics Academy | Electrolysis Skincare Studio","+1 902-448-1779","https://www.kimberleaaesthetics.ca/","kimberleawebb@gmail.com [risky]","","","4.8","100","LOW","65","","Colchester, NS, CA","Medical Spa"
"Wink Day Spa Limited","","https://winkdayspa.ca/","","Wink Team
Renee","","","100","HIGH","75","","Colchester, NS, CA","Medical Spa"
"Lisa D. Wood Master Esthetician Reiki Master","+1 902-890-7269","https://holistichealthnovascotia.ca/","","","","","0","HIGH","85","","Colchester, NS, CA","Medical Spa"
"Colchester East Hants Health Centre","+1 902-893-5554","http://www.nshealth.ca/locations-details/Colchester%20East%20Hants%20Health%20Centre","","","","3.0","1","HIGH","95","","Colchester, NS, CA","Medical Spa"
"Truro Rejuvenation Clinic","+1 902-986-3223","","","","","4.8","100","HIGH","85","","Colchester, NS, CA","Medical Spa"
"Abalone Retreat","+1 902-639-1319","http://www.abaloneretreat.com/","andrea@abaloneretreat.com [risky]","","","5.0","26","MEDIUM","85","","Colchester, NS, CA","Medical Spa"
"Lifemark Physiotherapy Colchester","+1 902-897-9550","https://www.lifemark.ca/Colchester?utm_source=gmb&utm_medium=organic","","","","4.6","18","HIGH","85","","Colchester, NS, CA","Medical Spa"
"Chisholm Holistic Health","+1 902-225-2256","","","","","4.7","13","HIGH","100","","Cole Harbour, NS, CA","Medical Spa"
"Cole Harbour Integrated Health Services - pt Health","","https://www.pthealth.ca/clinic/cole-harbour-integrated-health-services-pt-health/?utm_source=gmb&utm_medium=organic","","","","4.9","56","HIGH","75","","Cole Harbour, NS, CA","Medical Spa"
"Harvest Medicine Cole Harbour & Nova Scotia","+1 647-222-3804","","","","","","0","HIGH","100","","Cole Harbour, NS, CA","Medical Spa"
"Misty's Esthetics","+1 902-604-2062","https://linktr.ee/The.bawdyboss","hrm@acutemassage.ca [risky]","","","","0","MEDIUM","85","","Cole Harbour, NS, CA","Medical Spa"
"Spa Solutions","+1 902-469-4772","http://www.spa-solutions.ca/","","","","4.6","312","MEDIUM","50","","Cole Harbour, NS, CA","Medical Spa"
"NU Aesthetics Inc.","+1 902-469-4772","https://nuaesthetics.ca/","numedicalaesthetics@gmail.com [risky]","","","4.6","38","MEDIUM","85","","Cole Harbour, NS, CA","Medical Spa"
"Cole Harbour Physio & Rehab","+1 902-462-6492","http://www.coleharbourphysio.ca/","admin@chphysio.ca [risky]","","","","102","LOW","75","","Cole Harbour, NS, CA","Medical Spa"
"Vitality Medi Spa - Downtown","+1 902-422-4475","","","","","4.8","574","HIGH","70","","Cole Harbour, NS, CA","Medical Spa"
"Char Care Aesthetics","+1 403-497-6292","http://www.charcareaesthetics.com/","info@charcareaesthetics.com [risky]","Appointment
We Proudly","","","0","MEDIUM","85","","Cole Harbour, NS, CA","Medical Spa"
"Massage Addict Cole Harbour","+1 902-462-7700","https://www.massageaddict.ca/coleharbour/?utm_source=google_business_profile&utm_medium=organic","coleharbour@massageaddict.ca [risky]","","","4.7","13","MEDIUM","85","","Cole Harbour, NS, CA","Medical Spa"
"The Dartmouth Wellness Collective - Acupuncture, Massage Therapy, Naturopath, BioScan","+1 902-580-3282","http://dartmouthwellness.ca/","","Catch us in","","4.6","191","MEDIUM","55","","Cole Harbour, NS, CA","Medical Spa"
"Cole Harbour Medical Solutions","+1 902-464-0420","http://www.cmsnovascotia.ca/","","","","4.7","103","HIGH","65","","Cole Harbour, NS, CA","Medical Spa"
"DermaEnvy Skincare - Dartmouth","+1 902-469-3376","https://www.dermaenvy.com/","halifax@dermaenvy.com [risky]","in Your Skin","","4.9","148","LOW","65","","Cole Harbour, NS, CA","Medical Spa"
"Body Works Med Spa & Wellness","+1 902-405-0858","http://www.bodyworksmedspa.ca/","info@ballantyne.studio [risky]","","","4.8","574","LOW","50","","Cow Bay, NS, CA","Medical Spa"
"Monarchy Medispa Halifax","+1 902-982-6334","https://www.havenmedispa.com/","hello@havenmedispa.com [risky]","Kelly Finamore","","","0","MEDIUM","85","","Cow Bay, NS, CA","Medical Spa"
"Estetika Moda","+1 902-999-2539","","","","","","0","HIGH","100","","Cow Bay, NS, CA","Medical Spa"
"The Highlander Med Spa & Salon","+1 902-429-3022","http://www.thehighlanderspa.com/","info.thehighlanderspa@gmail.com [risky]","to book my","","","243","LOW","65","","Cow Bay, NS, CA","Medical Spa"
"DerMedical Esthetics Inc","+1 902-435-8614","https://www.dermedicalesthetics.ca/","dermedicalesthetics.reception@gmail.com [risky]","","","5.0","40","MEDIUM","85","","Cow Bay, NS, CA","Medical Spa"
"Cocoa Organic Spa & Boutique","+1 902-531-2626","http://www.cocoaorganicspa.com/","info@cocoaorganicspa.com [risky]","","","5.0","3","MEDIUM","85","","Cow Bay, NS, CA","Medical Spa"
"The Glow Lab Aesthetics & Wellness","","https://theglowlabhfx.ca/","theglowlabhfx@gmail.com [risky]","Morgan received her","","4.6","50","LOW","75","","Cow Bay, NS, CA","Medical Spa"
"The Skin Sanctum","","https://www.theskinsanctum.ca/","info@theskinsanctum.ca [risky]","","","4.9","148","LOW","65","","Dartmouth, NS, CA","Medical Spa"
"Interlude Spa Dartmouth","+1 902-469-2700","https://interlude.com/","halifax@interlude.com [risky]","owner","","4.5","257","LOW","65","","Dartmouth, NS, CA","Medical Spa"
"Vera Skin and Laser Studio","+1 647-222-3804","","","","","5.0","4","HIGH","100","","Dartmouth, NS, CA","Medical Spa"
"Gentle Touch Spa & Laser","+1 902-429-6611","https://www.gentletouchonline.com/","","","","4.8","52","HIGH","75","","Dartmouth, NS, CA","Medical Spa"
"The Balance Nurse Practitioner","+1 902-805-2580","https://www.thebalancenp.com/","hello@natchskinandbody.com [risky]","the owner and","","5.0","2","MEDIUM","85","","Dartmouth, NS, CA","Medical Spa"
"Skin Simple","+1 902-476-2553","https://www.skinsimple.ca/","","are the site","","4.9","162","MEDIUM","55","","Dartmouth, NS, CA","Medical Spa"
"Tranquility Spa","+1 902-407-2434","http://www.tranquility-spa.ca/","","was very professional","","5.0","4","HIGH","85","","Dartmouth, NS, CA","Medical Spa"
"Blissful body by benna","+1 902-401-6595","https://blissful-body-by-benna.square.site/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAdGRleAQ8wUpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaegri0kheHFtNHxE0lM_tIarmcr4ZFsvUnmz64NNrjcthUEYJ8kq-uO0mZoLA_aem_CaWBF2M2MdqN7w_o7Azw1w&utm_id=97760_v0_s00_e0_tv3_a1denni882x2jw_tp1","","","","","0","HIGH","85","","Dartmouth, NS, CA","Medical Spa"
"House of Beauty Laser Studio - Dartmouth","+1 902-943-4569","http://houseofbeautylaserstudio.com/","","","","4.8","346","MEDIUM","50","","Dartmouth, NS, CA","Medical Spa"
"Life SalonSpa Dartmouth","+1 902-423-7771","http://www.lifesalonspa.com/","life@lifesalonspa.com [risky]","","","4.8","468","LOW","50","","Dartmouth, NS, CA","Medical Spa"
"HolisticHealing4Life || Massage therapy, Osteopathy, Naturopathy, Podiatry, Cupping - Dartmouth","+1 902-462-7600","http://www.holistichealing4life.com/","holistichealing4life@gmail.com [risky]","","","4.9","46","MEDIUM","85","","Dartmouth, NS, CA","Medical Spa"
"Symmetry Wellness Centre","+1 902-444-6555","http://www.symmetrywellnesscentre.ca/","info@symmetrywellnesscentre.ca [risky]","","","5.0","9","MEDIUM","85","","Dartmouth, NS, CA","Medical Spa"
"NuYou MedSpa + Laser Clinic","+1 902-422-7327","https://www.nuyoumedispa.ca/","info@nuyoumedspa.ca [risky]","VANESSA CLARKE","","5.0","89","LOW","75","","Dartmouth, NS, CA","Medical Spa"
"Modern Age Aesthetics And Wellness","+1 902-402-9925","https://www.modernage.ca/","info@modernage.ca [risky]","","","4.9","162","LOW","55","","Dartmouth, NS, CA","Medical Spa"
"Devisa Skin Solutions","","https://www.devisaskinsolutions.ca/","support@webador.com [risky]","","","4.9","148","LOW","65","","Dartmouth, NS, CA","Medical Spa"
"Sore Spots Massage Therapy Dartmouth","+1 902-492-6439","http://sorespots.com/","hello@sorespots.com [risky]","","","4.6","191","LOW","55","","Dartmouth, NS, CA","Medical Spa"
