"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Modern Medi Spa","+1 905-492-3800","http://www.modernmedispa.com/","modernmedispa@rogers.com [risky]","friendly staff and","","4.7","656","LOW","50","","Ajax, ON, CA","Med spa"
"Fresh Touch Med Spa","","https://freshtouchmedspa.com/","info@freshtouchmedspa.com [risky]","","","4.8","130","LOW","65","","Ajax, ON, CA","Med spa"
"Still Beauty & Med Spa Inc.","+1 416-206-6342","https://stillbeauty.ca/","","Amy is amazing","","5.0","65","HIGH","75","","Ajax, ON, CA","Med spa"
"G Skin Desire Med Spa","+1 905-426-7981","","","","","","0","HIGH","100","","Ajax, ON, CA","Med spa"
"Elegancy Beauty Bar","+1 437-333-4124","https://elegancybeautybar.com/","info@elegancybeautybar.com [risky]","","","4.9","120","LOW","65","","Ajax, ON, CA","Med spa"
"Beauty Medi-Spa","+1 905-674-0100","http://www.beautymedi-spa.com/","astigma@astigmatic.com [risky]","","","4.7","197","LOW","55","","Ajax, ON, CA","Med spa"
"Derma Day Spa Inc","+1 647-964-3285","http://www.facebook.com/DermaDaySpa","","","","4.8","130","HIGH","65","","Ajax, ON, CA","Med spa"
"Holistic Spa & Laser Clinic","+1 905-239-1520","https://holisticspa.ca/","info@holisticspa.ca [risky]","","","","0","MEDIUM","85","","Ajax, ON, CA","Med spa"
"Luxe Med Spa","+1 647-921-5922","http://luxemedspa.ca/","","","","","0","HIGH","85","","Ajax, ON, CA","Med spa"
"Dynasty Aesthetics","+1 647-822-4853","https://dynastyaesthetics.ca/","farah@welcometothedynasty.com [risky]","","","4.9","297","LOW","55","","Ajax, ON, CA","Med spa"
"Skin Vitality Medical Clinic Ajax","+1 905-619-2639","https://www.skinvitality.ca/ajax/?src=7014X000001yGl0","info@skinvitality.ca [risky]","","","5.0","161","LOW","55","","Ajax, ON, CA","Med spa"
"Secret Aesthetics","+1 905-686-2345","https://secretaesthetics.ca/","","","","","0","HIGH","85","","Ajax, ON, CA","Med spa"
"Spa Sedona","","http://www.spasedona.ca/","info@spasedona.ca [risky]","","","4.3","338","LOW","60","","Ajax, ON, CA","Med spa"
"SKINX SPA","+1 844-713-3671","http://www.skinxspa.com/","info@skinxspa.com [risky]","","","","0","MEDIUM","85","","Ajax, ON, CA","Med spa"
"CASA BEAUTY CLINIC","+1 905-706-2975","http://casabeauty.ca/?utm_source=google&utm_medium=organic&utm_campaign=gbp","","ed with Beautifi","","4.9","38","HIGH","85","","Ajax, ON, CA","Med spa"
"Bushra's Energy Spa Skin Care","+1 416-209-0777","https://www.bushrasenergyspa.com/","info@mysite.com [risky]","","","4.9","308","LOW","50","","Ajax, ON, CA","Med spa"
"Laser Lounge The Glow Haus","+1 905-809-7898","","","","","5.0","267","HIGH","75","","Ajax, ON, CA","Med spa"
