"Name","Phone","Website","Primary Email","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"SERVPRO of Washington County","+1 401-746-4373","https://www.servpro.com/locations/ri/servpro-of-washington-county?utm_medium=organic&utm_source=gbp","","4.8","218","MEDIUM","55","","Ashaway, RI, US","Restoration"
"Rhode Island Restoration","+1 401-416-4150","","","5.0","92","HIGH","95","","Ashaway, RI, US","Restoration"
"Precise Restore LLC","+1 401-660-3119","https://www.preciserestore.com/","info@preciserestore.com","5.0","17","MEDIUM","35","","Ashaway, RI, US","Restoration"
"Chimney Works","+1 401-377-4857","http://www.chimneyworksct.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=website","","5.0","1","HIGH","85","","Ashaway, RI, US","Restoration"
"Restoration Specialists, Inc.","+1 401-864-7999","http://www.restorationspecialists.biz/","resrorationspecialists.ri@gmail.com","5.0","2","MEDIUM","35","","Ashaway, RI, US","Restoration"
"Western Mass Blasting Corporation","+1 800-442-5278","http://www.westernmassblasting.com/","info@westernmassblasting.com","5.0","1","MEDIUM","35","","Ashaway, RI, US","Restoration"
"Abcore Restoration","+1 401-952-5857","http://www.abcorerestoration.net/","abcorerestoration@gmail.com","5.0","3","MEDIUM","35","","Ashaway, RI, US","Restoration"
"Morgan & Smith Inc","+1 401-596-5805","","","3.4","5","HIGH","100","","Ashaway, RI, US","Restoration"
"Saint Construction","+1 401-829-0542","http://saintconstructionri.com/","hello@saintconstructionri.com","5.0","5","MEDIUM","35","","Ashaway, RI, US","Restoration"
"Initial Response Restoration","+1 401-301-7150","https://initialresponseri.com/","info@initialresponseri.com","5.0","90","LOW","25","","Ashaway, RI, US","Restoration"
"ServiceMaster DSI - New London","+1 203-712-5483","","","4.4","55","HIGH","100","","Ashaway, RI, US","Restoration"
