"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Modern Medi Spa","+1 905-492-3800","http://www.modernmedispa.com/","modernmedispa@rogers.com","friendly staff and","","4.7","656","HIGH","","","Ajax, ON, CA","Med spa"
"Fresh Touch Med Spa","+1 905-239-8477","https://freshtouchmedspa.com/","info@freshtouchmedspa.com","","","4.8","130","HIGH","","","Ajax, ON, CA","Med spa"
"Still Beauty & Med Spa Inc.","+1 416-206-6342","https://stillbeauty.ca/","","Amy is amazing","","5.0","65","MEDIUM","","","Ajax, ON, CA","Med spa"
"G Skin Desire Med Spa","","http://gskindesire.com/","gskindesire@gmail.com","","","5.0","44","HIGH","","","Ajax, ON, CA","Med spa"
"Elegancy Beauty Bar","+1 437-333-4124","","","","","4.9","120","LOW","","","Ajax, ON, CA","Med spa"
"Beauty Medi-Spa","+1 905-674-0100","http://www.beautymedi-spa.com/","astigma@astigmatic.com","","","4.7","197","HIGH","","","Ajax, ON, CA","Med spa"
"Luxe Med Spa","+1 647-921-5922","http://luxemedspa.ca/","","","","4.5","82","LOW","","","Ajax, ON, CA","Med spa"
"Holistic Spa & Laser Clinic","+1 905-239-1520","https://holisticspa.ca/","info@holisticspa.ca","Operations Manager","","4.7","656","HIGH","","","Ajax, ON, CA","Med spa"
"Skin Vitality Medical Clinic Ajax","+1 905-619-2639","https://www.skinvitality.ca/ajax/?src=7014X000001yGl0","info@skinvitality.ca","","","5.0","161","HIGH","","","Ajax, ON, CA","Med spa"
"CASA BEAUTY CLINIC","+1 905-706-2975","http://casabeauty.ca/?utm_source=google&utm_medium=organic&utm_campaign=gbp","","ed with Beautifi","","4.9","38","MEDIUM","","","Ajax, ON, CA","Med spa"
"Ocean Medi Spa Ajax","+1 647-491-0330","https://oceanmedispa.ca/","","","","4.3","6","LOW","","","Ajax, ON, CA","Med spa"
"Secret Aesthetics","+1 905-686-2345","https://secretaesthetics.ca/","info@secretaesthetics.ca","","","","0","HIGH","","","Ajax, ON, CA","Med spa"
"Spa Sedona","+1 905-686-4955","http://www.spasedona.ca/","info@spasedona.ca","","","4.3","338","HIGH","","","Ajax, ON, CA","Med spa"
"SKINX SPA","+1 844-713-3671","http://www.skinxspa.com/","info@skinxspa.com","","","","0","HIGH","","","Ajax, ON, CA","Med spa"
"Bushra's Energy Spa Skin Care","+1 416-209-0777","https://www.bushrasenergyspa.com/","info@mysite.com","","","4.9","308","HIGH","","","Ajax, ON, CA","Med spa"
"Koko’s Beauty Spa","+1 647-913-1365","https://www.instagram.com/kokos_spa/?hl=en","","","","5.0","103","LOW","","","Ajax, ON, CA","Med spa"
"Malibu Luxe Laser and Esthetics","+1 289-923-0683","https://www.fresha.com/book-now/malibu-luxe-laser-and-esthetics-olpr1gg7/all-offer?share=true&pId=2693818","","","","","0","LOW","","","Ajax, ON, CA","Med spa"
"The Facial Place","+1 905-831-9700","https://www.thefacialplace.com/","info@thefacialplace.com","partner","","5.0","31","HIGH","","","Ajax, ON, CA","Med spa"
"Enduring Beauty","+1 905-626-3080","http://enduringbeauty.ca/","enduringbeautyclinic@gmail.com","is the proud","","4.9","38","HIGH","","","Ajax, ON, CA","Med spa"
"Skin Essence Med Spa","+1 647-241-4463","https://vagaro.com/dermalynskinclinic","","","","","0","LOW","","","Ajax, ON, CA","Med spa"
"Glow Your Day Skincare","+1 437-557-1193","http://mindbodybeauty.ca/","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","","","","0","HIGH","","","Ajax, ON, CA","Med spa"
"Maison Blanc Day Spa","+1 905-668-3379","https://vivimedspa.ca/","info@vivimedspa.ca","CAMILA HERRERA GAVIRIA","","","0","HIGH","","","Ajax, ON, CA","Med spa"
