"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Modern Medi Spa","+1 905-492-3800","http://www.modernmedispa.com/","modernmedispa@rogers.com","friendly staff and","","4.7","656","HIGH","","","Ajax, ON, CA","Med spa"
"Fresh Touch Med Spa","+1 905-239-8477","https://freshtouchmedspa.com/","info@freshtouchmedspa.com","","","4.8","130","HIGH","","","Ajax, ON, CA","Med spa"
"Still Beauty & Med Spa Inc.","+1 416-206-6342","https://stillbeauty.ca/","","Amy is amazing","","5.0","65","MEDIUM","","","Ajax, ON, CA","Med spa"
"G Skin Desire Med Spa","+1 905-426-7981","http://gskindesire.com/","gskindesire@gmail.com","","","5.0","44","HIGH","","","Ajax, ON, CA","Med spa"
"Elegancy Beauty Bar","+1 437-333-4124","https://elegancybeautybar.com/","info@elegancybeautybar.com","","","4.9","120","HIGH","","","Ajax, ON, CA","Med spa"
"Beauty Medi-Spa","+1 905-674-0100","http://www.beautymedi-spa.com/","astigma@astigmatic.com","","","4.7","197","HIGH","","","Ajax, ON, CA","Med spa"
"Holistic Spa & Laser Clinic","+1 647-921-5922","http://luxemedspa.ca/","","","","","0","LOW","","","Ajax, ON, CA","Med spa"
"Skin Vitality Medical Clinic Ajax","+1 905-619-2639","https://www.skinvitality.ca/ajax/?src=7014X000001yGl0","info@skinvitality.ca","","","5.0","161","HIGH","","","Ajax, ON, CA","Med spa"
"CASA BEAUTY CLINIC","+1 905-706-2975","http://casabeauty.ca/?utm_source=google&utm_medium=organic&utm_campaign=gbp","","ed with Beautifi","","4.9","38","MEDIUM","","","Ajax, ON, CA","Med spa"
"Secret Aesthetics","+1 905-686-2345","https://secretaesthetics.ca/","","","","","0","LOW","","","Ajax, ON, CA","Med spa"
"Artisan Aesthetics","+1 647-491-0330","https://oceanmedispa.ca/","","","","","0","LOW","","","Ajax, ON, CA","Med spa"
"SKINX SPA","+1 844-713-3671","http://www.skinxspa.com/","info@skinxspa.com","","","","0","HIGH","","","Ajax, ON, CA","Med spa"
