"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Modern Medi Spa","+1 905-492-3800","http://www.modernmedispa.com/","modernmedispa@rogers.com [risky]","friendly staff and","","4.7","656","LOW","50","","Ajax, ON, CA","med spa"
"Fresh Touch Med Spa","+1 905-239-8477","https://freshtouchmedspa.com/","info@freshtouchmedspa.com [risky]","","","4.8","130","LOW","65","","Ajax, ON, CA","med spa"
"G Skin Desire Med Spa","+1 416-206-6342","https://stillbeauty.ca/","","Amy is amazing","","","0","HIGH","85","","Ajax, ON, CA","med spa"
"Elegancy Beauty Bar","+1 905-426-7981","http://gskindesire.com/","gskindesire@gmail.com [risky]","","","","0","MEDIUM","85","","Ajax, ON, CA","med spa"
"Beauty Medi-Spa","+1 437-333-4124","https://elegancybeautybar.com/","info@elegancybeautybar.com [risky]","","","","0","MEDIUM","85","","Ajax, ON, CA","med spa"
"Derma Day Spa Inc","+1 647-964-3285","http://www.facebook.com/DermaDaySpa","","","","4.8","130","HIGH","65","","Ajax, ON, CA","med spa"
"Holistic Spa & Laser Clinic","+1 905-239-1520","https://holisticspa.ca/","info@holisticspa.ca [risky]","Operations Manager","","4.7","656","LOW","50","","Ajax, ON, CA","med spa"
"Luxe Med Spa","+1 647-921-5922","http://luxemedspa.ca/","","","","4.5","82","HIGH","85","","Ajax, ON, CA","med spa"
"Skin Vitality Medical Clinic Ajax","+1 905-619-2639","https://www.skinvitality.ca/ajax/?src=7014X000001yGl0","info@skinvitality.ca [risky]","","","5.0","161","LOW","55","","Ajax, ON, CA","med spa"
"Dynasty Aesthetics","+1 647-822-4853","https://dynastyaesthetics.ca/","farah@welcometothedynasty.com [risky]","","","4.9","297","LOW","55","","Ajax, ON, CA","med spa"
"Artisan Aesthetics","+1 647-491-0330","https://oceanmedispa.ca/","info@oceanmedispa.ca [risky]","","","","0","MEDIUM","85","","Ajax, ON, CA","med spa"
"CASA BEAUTY CLINIC","+1 905-706-2975","http://casabeauty.ca/?utm_source=google&utm_medium=organic&utm_campaign=gbp","","ed with Beautifi","","4.9","38","HIGH","85","","Ajax, ON, CA","med spa"
"SKINX SPA","+1 844-713-3671","http://www.skinxspa.com/","info@skinxspa.com [risky]","","","","0","MEDIUM","85","","Ajax, ON, CA","med spa"
"Ignite Your Soul Wellness Spa","+1 289-928-2940","http://www.igniteyoursoul.ca/","info@igniteyoursoul.ca [risky]","","","4.2","141","LOW","75","","Ajax, ON, CA","med spa"
"Bushra's Energy Spa Skin Care","+1 416-209-0777","https://www.bushrasenergyspa.com/","info@mysite.com [risky]","","","4.9","308","LOW","50","","Ajax, ON, CA","med spa"
"Jenesis Medical Aesthetics","+1 705-206-0961","http://www.jenesismedicalaesthetics.ca/","jenesisaesthetics@outlook.com [risky]","designed for","","5.0","87","LOW","75","","Algoma, ON, CA","med spa"
"Laser Advantage","+1 705-256-5420","","","","","4.9","344","HIGH","70","","Algoma, ON, CA","med spa"
"Holistic Healing Algoma","+1 705-989-4207","http://www.holistichealingalgoma.com/","bringinghealinghome@holistichealingalgoma.com [risky]","","","","0","MEDIUM","85","","Algoma, ON, CA","med spa"
"Greenhouse Spa","+1 705-256-6461","","","","","","0","HIGH","100","","Algoma, ON, CA","med spa"
"RevitalEyes Med Spa","+1 705-435-8880","https://revitaleyesmedspa.ca/","info@revitaleyesmedspa.ca [risky]","","","5.0","5","MEDIUM","85","","Alliston, ON, CA","med spa"
"Enliven Medical Aesthetics","+1 705-435-2477","http://www.enlivenmedical.ca/","","","","5.0","121","HIGH","65","","Alliston, ON, CA","med spa"
"The Beach House Spa & Wellness","+1 705-250-2700","http://www.thebeachhousespa.ca/","[INVALID] info@thebeachhousespa.ca","","","5.0","51","LOW","75","","Alliston, ON, CA","med spa"
