"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Miami Skin Spa Aesthetics & Wellness","+1 305-557-1615","https://www.miamiskinspa.com/?utm_source=gmb&utm_medium=organic&utm_campaign=directory","","provider and device","","4.6","425","MEDIUM","50","","Miami","Med spa"
"Dolce Medical Spa - Miami","+1 786-305-8898","https://mia.dolcemedicalspas.com/facial-promo/","","","","5.0","2213","MEDIUM","50","","Miami","Med spa"
"Med Aesthetics Miami","","https://medaestheticsmiami.com/?utm_source=google&utm_medium=organic&utm_content=gables&utm_campaign=gmb","","","","4.6","425","MEDIUM","50","","Miami","Med spa"
"No Filter Medical Spa","+1 305-619-2651","https://nofiltermedspa.com/","info@nofiltermedspa.com [risky]","and his staff","","4.9","252","LOW","55","","Miami","Med spa"
"Monaco MedSpa","+1 786-536-6117","https://www.monacomedspa.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb","officemanager@monacomedspa.com [risky]","","","5.0","1091","LOW","50","","Miami","Med spa"
"Brickell Cosmetic Center-Aesthetics & Dermatology","+1 305-456-6001","https://brickellcosmetic.com/","","Google Tag","","4.8","150","MEDIUM","55","","Miami","Med spa"
"4Beauty Medspa","+1 786-901-0611","https://deluxemedspabeauty.com/","info@deluxemedspabeauty.com [risky]","THE TEAM
DIANELYS","","","129","LOW","75","","Miami","Med spa"
"Aviva Medical Spa","+1 786-496-9444","https://4beautymedspa.com/","","","","","0","HIGH","85","","Miami","Med spa"
"Caruna Med Spa & Laser Center","+1 305-340-9002","https://arvivaesthetics.com/miami/","","","","","0","HIGH","85","","Miami","Med spa"
"Laria MedSpa","+1 305-456-9336","https://www.carunamedspa.com/","info@carunamedspa.com [risky]","","","","0","MEDIUM","85","","Miami","Med spa"
"A&E MED SPA LLC","+1 305-299-7290","https://lariamedspa.com/","","of their respective","","","0","HIGH","85","","Miami","Med spa"
"Get Refreshed","+1 305-988-9504","https://www.getrefreshed.com/","","","","","0","HIGH","85","","Miami","Med spa"
"Alicia Med Spa","+1 917-854-9121","https://www.aliciamedspa.com/","","","","5.0","1","HIGH","85","","Miami","Med spa"
"VIIV WELLNESS HAUS","","http://viivwellnesshaus.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","contact@viivwellnesshaus.com [risky]","","","4.8","35","MEDIUM","85","","Miami","Med spa"
"4Ever Young Med Spa & Wellness Center Miami Midtown","+1 786-982-0255","https://4everyoungantiaging.com/miami-midtown/?utm_source=google&utm_medium=organic&utm_campaign=gbp-miamimidtown","info@miamimidtown.4everyoung.com [verified]","","","4.9","331","LOW","50","","Miami","Med spa"
"Facial Mania Med Spa Midtown","+1 305-614-3987","http://www.facialmaniamedspa.com/","","","","","0","HIGH","85","","Miami","Med spa"
"Infinity Beauty Lab Med Spa","+1 561-232-0263","","","","","","0","HIGH","100","","Miami","Med spa"
"Rejuvaline Medspa at Flamingo","+1 786-461-4665","http://www.masterfacemedspa.com/","","","","","0","HIGH","85","","Miami","Med spa"
"Cosmetic Laser Professionals MED SPA","+1 305-456-1170","http://www.cosmeticlaserprofessionals.com/","info@clpmedspa.com [risky]","Marquez Mendoza
Medical","","5.0","93","LOW","75","","Miami","Med spa"
"Prestige Laser Med Spa","+1 305-364-5880","http://www.vkmedpro.net/","","","","","0","HIGH","85","","Miami","Med spa"
"Heavenly Med Spa Miami","+1 305-988-8528","https://heavenlymedspamiami.com/","","","","5.0","25","HIGH","85","","Miami","Med spa"
"Charette Cosmetics Medical Spa - Miami Beach","+1 786-574-8240","","","","","","0","HIGH","100","","Miami","Med spa"
