"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Med Spa Of Americus","+1 229-924-9418","http://themedspaofamericus.com/","themedspaofamericus@gmail.com [risky]","","","4.8","24","MEDIUM","85","","Abbeville, GA, US","Med spa"
"Radiant Skin Medical Spa Richmond Hill","+1 912-459-7546","http://radiantskinrichmondhill.com/","","","","5.0","209","MEDIUM","55","","Abbeville, GA, US","Med spa"
"Habersham Aesthetics and MedSpa with IV Hydration","+1 706-286-8832","","","","","5.0","65","HIGH","95","","Abbeville, GA, US","Med spa"
"Spa Medical","+1 478-796-9711","https://www.spamedical.com/","info@spamedicalmacon.com [risky]","","","5.0","55","LOW","75","","Abbeville, GA, US","Med spa"
"Envy Med Spas","+1 229-744-7809","","","","","","0","HIGH","100","","Abbeville, GA, US","Med spa"
"Magnolia Medspa","+1 770-889-0006","http://www.magnoliamedspa.com/","","Haven Carlisle","","4.6","32","HIGH","85","","Abbeville, GA, US","Med spa"
"Serenity Med-Spa Of Georgia","+1 912-561-6040","https://serenitymedspaga.com/","","","","4.9","324","MEDIUM","50","","Abbeville, GA, US","Med spa"
"The NOW Massage Dunwoody","+1 770-672-5805","https://thenowmassage.com/dunwoody","","","","4.4","579","MEDIUM","60","","Acworth, GA, US","Med spa"
"Bloom Health and Wellness","","https://bloomhealthandwellness.com/","hello@bloomgeorgia.com [risky]","in your health","","","0","MEDIUM","85","","Acworth, GA, US","Med spa"
"The Spa House","+1 770-675-3859","http://www.thespahouse.org/","","from the","","4.7","171","MEDIUM","55","","Acworth, GA, US","Med spa"
"ZenTress Head Spa","+1 404-482-3889","https://zentressheadspa.com/","info@zentressheadspa.com [risky]","","","","0","MEDIUM","85","","Acworth, GA, US","Med spa"
"Designed4Wellness","+1 678-595-7674","https://www.designed4wellness.us/","info@designed4wellness.us [risky]","ship in Your","","4.8","51","LOW","75","","Acworth, GA, US","Med spa"
"Habit. Body Wellness + Aesthetics","+1 770-726-2148","http://www.habitbodywellness.com/","","","","5.0","167","MEDIUM","55","","Acworth, GA, US","Med spa"
"Whispering Waters Spa","+1 770-726-2148","http://www.habitbodywellness.com/","hello@habitbodywellness.com [risky]","","","","227","LOW","65","","Acworth, GA, US","Med spa"
"Synergy Spa & Wellness","+1 770-294-3368","http://www.whisperingwatersspa.com/","wwspainfo@gmail.com [risky]","The Dream Facial","","","0","MEDIUM","85","","Acworth, GA, US","Med spa"
"Bubolo Medical, LLC","+1 678-445-3900","https://www.synergyspa.net/","info@synergyspa.net [risky]","BODY AND ENVIRONMENT","","","0","MEDIUM","85","","Acworth, GA, US","Med spa"
"Spa La Paz","+1 470-308-3793","http://www.spalapaz.com/","","Hannah Rohan
Spa","","5.0","66","HIGH","75","","Acworth, GA, US","Med spa"
"My M.I.S.S. Haven Medical","+1 678-882-4434","https://32medspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","info@32medspa.com [risky]","","","","0","MEDIUM","85","","Acworth, GA, US","Med spa"
"Flawless Day Spa","+1 770-289-3486","","","","","","0","HIGH","100","","Acworth, GA, US","Med spa"
"Natural Beauty by Tracilla","+1 404-771-2555","","","","","5.0","13","HIGH","100","","Acworth, GA, US","Med spa"
"WellSpa Med Kennesaw","+1 770-948-8000","https://www.wellspamed.com/","","","","","0","HIGH","85","","Acworth, GA, US","Med spa"
"Trilogy Massage","+1 770-415-1212","http://www.trilogymassage.com/","mary@trilogymassage.com [risky]","","","4.0","75","MEDIUM","95","","Acworth, GA, US","Med spa"
"Natural Healing Massage","+1 404-647-3350","http://www.7hillsmassage.com/","lillian@7hillsmassage.com [risky]","","","4.8","38","MEDIUM","85","","Acworth, GA, US","Med spa"
"Signature Image Atlanta","+1 678-224-7868","http://www.signatureimageatlanta.com/","[INVALID] 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","","","4.9","287","LOW","55","","Acworth, GA, US","Med spa"
