"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Uptown Med Spa Brampton","+1 905-341-7462","https://brampton.uptownmedspa.ca/","","","","4.8","383","MEDIUM","50","","Brompton","Med spa"
"Rejuva Medi Spa","+1 647-716-0464","http://rejuvamedispa.com/","info@rejuvamedispa.com [risky]","","","4.8","122","LOW","65","","Brompton","Med spa"
"Lily Laser And Medi Spa Inc.","+1 647-490-0307","https://lilymedispa.ca/","lilylasermedispa@gmail.com [risky]","aesthetician and Clinical","","5.0","128","LOW","65","","Brompton","Med spa"
"Jack Nathan MedSpa - Brampton","+1 833-739-3119","http://www.jnhmedspa.com/","","","","4.7","107","HIGH","65","","Brompton","Med spa"
"K Aesthetic Med Spa & Laser","+1 905-783-2640","http://fresha.com/book-now/kaesthetic-wnt58oid/all-offer?id=1022199&pId=968725","","","","4.9","72","HIGH","75","","Brompton","Med spa"
"Puress Spa & Laser Clinic","","http://www.puressspa.com/","thepuressspa@gmail.com [risky]","","","5.0","165","LOW","55","","Brompton","Med spa"
"Divine Spa","+1 905-866-6868","http://www.divinespa.ca/","","","","4.3","34","HIGH","95","","Brompton","Med spa"
"Lavish Med Clinic","","https://www.lavishmedclinic.com/","","all
Your trusted","","4.9","74","HIGH","75","","Brompton","Med spa"
"Brampton Cosmetic Surgery Centre & Medical Spa","+1 905-451-5855","https://www.bramptoncosmetic.com/","info@bramptoncosmetic.com [risky]","Sleightholm is","","3.7","18","MEDIUM","95","","Brompton","Med spa"
"Dr. Anjalee Gupta Aesthetic Medicine Clinic","","https://www.bramptoncosmeticmd.ca/","","","","","0","HIGH","85","","Brompton","Med spa"
